Epoch: 0001 train_loss= 2.5876  train_acc= 0.1859  val_loss= 2.5385  val_acc= 0.2254  time= 1.9457 
Epoch: 0002 train_loss= 2.3529  train_acc= 0.2628  val_loss= 2.3780  val_acc= 0.2676  time= 0.1587 
Epoch: 0003 train_loss= 2.2330  train_acc= 0.3125  val_loss= 2.2475  val_acc= 0.3239  time= 0.1304 
Epoch: 0004 train_loss= 2.1521  train_acc= 0.3253  val_loss= 2.1519  val_acc= 0.3662  time= 0.1442 
Epoch: 0005 train_loss= 2.0593  train_acc= 0.3654  val_loss= 2.0619  val_acc= 0.3803  time= 0.1510 
Epoch: 0006 train_loss= 1.9563  train_acc= 0.4151  val_loss= 1.9661  val_acc= 0.4507  time= 0.1399 
Epoch: 0007 train_loss= 1.8600  train_acc= 0.4407  val_loss= 1.8852  val_acc= 0.4507  time= 0.1283 
Epoch: 0008 train_loss= 1.7964  train_acc= 0.4311  val_loss= 1.8183  val_acc= 0.4366  time= 0.1254 
Epoch: 0009 train_loss= 1.7449  train_acc= 0.4439  val_loss= 1.7691  val_acc= 0.4366  time= 0.1379 
Epoch: 0010 train_loss= 1.6710  train_acc= 0.4679  val_loss= 1.7150  val_acc= 0.4789  time= 0.1365 
Epoch: 0011 train_loss= 1.6342  train_acc= 0.4744  val_loss= 1.6879  val_acc= 0.4366  time= 0.1306 
Epoch: 0012 train_loss= 1.5868  train_acc= 0.4712  val_loss= 1.6317  val_acc= 0.4085  time= 0.1480 
Epoch: 0013 train_loss= 1.5393  train_acc= 0.4744  val_loss= 1.5930  val_acc= 0.4366  time= 0.1632 
Epoch: 0014 train_loss= 1.4987  train_acc= 0.4776  val_loss= 1.5617  val_acc= 0.4366  time= 0.1486 
Epoch: 0015 train_loss= 1.4599  train_acc= 0.4776  val_loss= 1.5229  val_acc= 0.4366  time= 0.1572 
Epoch: 0016 train_loss= 1.4156  train_acc= 0.4936  val_loss= 1.4727  val_acc= 0.4085  time= 0.1386 
Epoch: 0017 train_loss= 1.3716  train_acc= 0.5160  val_loss= 1.4319  val_acc= 0.3944  time= 0.1554 
Epoch: 0018 train_loss= 1.3367  train_acc= 0.5417  val_loss= 1.4007  val_acc= 0.4507  time= 0.1724 
Epoch: 0019 train_loss= 1.2985  train_acc= 0.5433  val_loss= 1.3585  val_acc= 0.4930  time= 0.1706 
Epoch: 0020 train_loss= 1.2558  train_acc= 0.5513  val_loss= 1.3038  val_acc= 0.4930  time= 0.1606 
Epoch: 0021 train_loss= 1.2154  train_acc= 0.5673  val_loss= 1.2570  val_acc= 0.5352  time= 0.1340 
Epoch: 0022 train_loss= 1.1804  train_acc= 0.5913  val_loss= 1.2285  val_acc= 0.5634  time= 0.1261 
Epoch: 0023 train_loss= 1.1504  train_acc= 0.6378  val_loss= 1.2013  val_acc= 0.5775  time= 0.1569 
Epoch: 0024 train_loss= 1.1138  train_acc= 0.6394  val_loss= 1.1590  val_acc= 0.5634  time= 0.1519 
Epoch: 0025 train_loss= 1.0732  train_acc= 0.6651  val_loss= 1.1214  val_acc= 0.5915  time= 0.1367 
Epoch: 0026 train_loss= 1.0443  train_acc= 0.6843  val_loss= 1.0925  val_acc= 0.6197  time= 0.1264 
Epoch: 0027 train_loss= 1.0141  train_acc= 0.6811  val_loss= 1.0715  val_acc= 0.6197  time= 0.1249 
Epoch: 0028 train_loss= 0.9837  train_acc= 0.6747  val_loss= 1.0481  val_acc= 0.6197  time= 0.1326 
Epoch: 0029 train_loss= 0.9617  train_acc= 0.6635  val_loss= 1.0285  val_acc= 0.6197  time= 0.1531 
Epoch: 0030 train_loss= 0.9354  train_acc= 0.6522  val_loss= 1.0180  val_acc= 0.5915  time= 0.1648 
Epoch: 0031 train_loss= 0.9088  train_acc= 0.6763  val_loss= 0.9841  val_acc= 0.6338  time= 0.1441 
Epoch: 0032 train_loss= 0.8791  train_acc= 0.7099  val_loss= 0.9600  val_acc= 0.6338  time= 0.1421 
Epoch: 0033 train_loss= 0.8655  train_acc= 0.7115  val_loss= 0.9566  val_acc= 0.6338  time= 0.1306 
Epoch: 0034 train_loss= 0.8381  train_acc= 0.7260  val_loss= 0.9277  val_acc= 0.6338  time= 0.1412 
Epoch: 0035 train_loss= 0.8174  train_acc= 0.7308  val_loss= 0.9134  val_acc= 0.6479  time= 0.1554 
Epoch: 0036 train_loss= 0.7961  train_acc= 0.7340  val_loss= 0.9040  val_acc= 0.6620  time= 0.1716 
Epoch: 0037 train_loss= 0.7699  train_acc= 0.7420  val_loss= 0.8802  val_acc= 0.6901  time= 0.1665 
Epoch: 0038 train_loss= 0.7490  train_acc= 0.7516  val_loss= 0.8771  val_acc= 0.6620  time= 0.1390 
Epoch: 0039 train_loss= 0.7336  train_acc= 0.7660  val_loss= 0.8677  val_acc= 0.6620  time= 0.1259 
Epoch: 0040 train_loss= 0.7183  train_acc= 0.7660  val_loss= 0.8457  val_acc= 0.6620  time= 0.1278 
Epoch: 0041 train_loss= 0.6981  train_acc= 0.7756  val_loss= 0.8386  val_acc= 0.6761  time= 0.1243 
Epoch: 0042 train_loss= 0.6851  train_acc= 0.7772  val_loss= 0.8237  val_acc= 0.6761  time= 0.1422 
